code,lat,lon,name,city,state,country,tz,type,runway_length,elev,NTGA
AEH,13.8486,20.8472,Abeche Airport,Abéché,Ouaddai,Chad,Africa/Ndjamena,Airports,5905,1788,SABE
AEP,-34.5617,-58.4113,Aeroparque Jorge Newbery,Buenos Aires,Ciudad de Buenos Aires,Argentina,America/Buenos_Aires,Airports,6890,20,URSS
AER,43.447,39.9552,Adler Airport,Sochi,Krasnodarskiy Kray,Russia,Europe/Moscow,Airports,,,ENAL
AES,62.5607,6.11129,Vigra Airport,Vigra,More og Romsdal,Norway,Europe/Oslo,Airports,5249,71,
AET,66.55,-152.65,Allakaket Airport,Allakaket,Alaska,United States,America/Anchorage,Airports,3000,350,KAEX
AEX,31.323,-92.5417,Alexandria International Airport,Alexandria,Louisiana,United States,America/Chicago,Airports,,,BIAR
AEY,65.6561,-18.0923,Akureyri Airport,Akureyri,Akureyri,Iceland,Atlantic/Reykjavik,Airports,6365,6,SAMR
AFA,-34.5886,-68.4028,San Rafael Airport,San Rafael,Mendoza,Argentina,America/Buenos_Aires,Airports,7513,2444,SBAT
AFL,-9.8661,-56.1044,Alta Floresta Airport,Alta Floresta,Mato Grosso,Brazil,America/Campo_Grande,Airports,5249,288,
AFS,41.6136,64.2331,Zarafshan Airport,Zarafshan,Nawoiy,Uzbekistan,Asia/Samarkand,Airports,,,
AFT,-9.18333,160.95,Afutara Aerodrome,Afutara,Malaita,Solomon Islands,Pacific/Guadalcanal,Airports,,,
AFZ,36.1903,57.7094,Sabzevar Airport,Sabzevar,Khorasan,Iran,Asia/Tehran,Airports,10428,3010,GMAD
AGA,30.3833,-9.55,Almassira Airport,Agadir,Agadir,Morocco,Africa/Casablanca,Airports,9547,88,LFBA
AGF,44.1736,0.59223,La Garenne Airport,Laplume,Aquitaine,France,Europe/Paris,Airports,7103,203,ESTA
AGH,56.2873,12.8675,Angelholm Airport,Angelholm,Skane,Sweden,Europe/Stockholm,Airports,6562,65,
AGL,-9.33333,149.15,Wanigela,Wanigela,Northern,Papua New Guinea,Pacific/Port_Moresby,Airports,3280,50,BGAM
AGM,65.6667,-37.6667,Angmagssalik Airport,Angmassalik,Ostgronland,Greenland,America/Godthab,Airports,,,PAGN
AGN,57.4996,-134.577,Angoon Airport,Angoon,Alaska,United States,America/Anchorage,Airports,,1,LEMG
AGP,36.6749,-4.49298,Malaga Airport,Malaga,Andalucia,Spain,Europe/Madrid,Airports,10500,52,VIAG
AGR,27.1632,77.9788,Agra Airport,Agra,Uttar Pradesh,India,Asia/Kolkata,Airports,9000,551,KAGS
AGS,33.3735,-81.9732,Bush Field Airport,Augusta,Georgia,United States,America/New_York,Airports,8001,145,SGES
AGT,-25.5266,-54.6226,Alejo Garcia Airport,Presidente Franco,Alto Paraná,Paraguay,America/Asuncion,Airports,,,MMAS
AGU,21.7047,-102.317,Aguascalientes Airport,Aguascalientes,Aguascalientes,Mexico,America/Mexico_City,Airports,4921,6112,SVAC
AGV,9.55194,-69.2367,Acarigua,Acarigua,Portuguesa,Venezuela,America/Caracas,Airports,5905,640,VOAT
AGX,10.8415,72.175,Agatti Island Airport,Agatti Island,Lakshadweep,India,Asia/Kolkata,Airports,1204,,OEAB
AHB,18.24,42.6556,Abha Airport,Hajlah,Asir,Saudi Arabia,Asia/Riyadh,Airports,10991,6857,KAHC
AHC,40.2664,-120.151,Amedee Army Air Field,Herlong,California,United States,America/Los_Angeles,Military Airport,,,
AHE,-14.5,-1.3,Ahe Airport,Ahe,Tuamotu-Gambier,French Polynesia,Pacific/Midway,Airports,,,LIEA
AHO,40.6319,8.29279,Alghero Airport,Alghero,Sardinia,Italy,Europe/Rome,Airports,9842,88,
AHS,15.4534,-84.4041,Ahuas Airport,Auas,Gracias a Dios,Honduras,America/Tegucigalpa,Airports,2460,98,GMTA
AHU,35.1781,-3.8383,Cote du Rif Airport,Al Hoceima,Al Hoceima,Morocco,Africa/Casablanca,Airports,7087,89,KAIA
AIA,42.0622,-102.81,Alliance Municipal Airport,Alliance,Nebraska,United States,America/Denver,Airports,9202,3929,PAWT
AIN,70.6139,-159.857,Wainwright Airport,Wainwright,Alaska,United States,America/Anchorage,Airports,2200,25,NCAI
AIT,-18.8299,-159.765,Aitutaki Airport,Aitutaki,Aitutaki,Cook Islands,Pacific/Rarotonga,Airports,5981,14,NCAT
AIU,-20.0333,-158.1,Atiu Island,Atiu Island,Atiu,Cook Islands,Pacific/Rarotonga,Airports,2648,200,LFKJ
AJA,41.9204,8.79778,Campo Dell Oro Airport,Ajaccio,Corsica,France,Europe/Paris,Airports,6972,16,OESK
AJF,29.7897,40.1039,Al Jouf Airport,Sakakah,Al Jawf,Saudi Arabia,Asia/Riyadh,Airports,12008,2261,LTCO
AJI,39.7239,43.0618,Agri Airport,Agrı,Ağrı,Turkey,Europe/Istanbul,Airports,,,VEAZ
AJL,23.7361,92.8083,Aizwal Airport,Aizawl,Mizoram,India,Asia/Kolkata,Airports,3131,1000,FMCV
AJN,-12.2234,44.3709,Comoros,Anjouan,Anjouan,Comoros,Indian/Comoro,Airports,4429,62,ESNX
AJR,65.592,19.2647,Arvidsjaur Airport,Arvidsjaur,Norrbotten,Sweden,Europe/Stockholm,Airports,,,SBAR
AJU,-10.985,-37.0733,Santa Maria Airport,Aracaju,Sergipe,Brazil,America/Belem,Airports,5372,26,ZLAK
AKA,32.7026,108.912,Ankang Airport,Ankang,Shaanxi,China,Asia/Shanghai,Airports,,,
AKB,52.2217,-174.204,Atka Airport,Atka,Alaska,United States,America/Adak,Airports,3100,33,HLKF
AKF,24.1819,23.3189,Kufra Airport,Kufrah,Al Kufrah,Libya,Africa/Tripoli,Airports,12007,1367,
AKI,60.8866,-161.218,Akiak Airport,Bethel,Alaska,United States,America/Anchorage,Airports,2000,22,RJEC
AKJ,43.665,142.453,Asahikawa Airport,Asahikawa-shi,Hokkaido Prefecture,Japan,Asia/Tokyo,Airports,6560,709,PAKH
AKK,56.95,-154.167,Akhiok Airport,Kodiak,Alaska,United States,America/Anchorage,Airports,2170,50,NZAA
AKL,-37.0085,174.782,Auckland International Airport,Manukau City,Auckland,New Zealand,Pacific/Auckland,Airports,10800,23,PAKN
AKN,58.6775,-156.655,King Salmon Airport,King Salmon,Alaska,United States,America/Anchorage,Airports,8500,57,PAKP
AKP,68.1916,-151.79,Anaktuvuk Pass Airport,Anaktuvuk Pass,Alaska,United States,America/Anchorage,Airports,5500,2100,FAKS
AKS,-27.6667,27.3167,Kroonstad Airport,Kroonstad,Free State,South Africa,Africa/Johannesburg,Airports,,,ZWAK
AKU,41.171,80.1982,Aksu Airport,Aksu,Xinjiang,China,Asia/Kashgar,Airports,,,CYKO
AKV,60.8142,-78.1509,Akulivik Airport,Chisasibi,Quebec,Canada,America/Iqaluit,Airports,,,UATT
AKX,50.2362,57.2115,Aktyubinsk Airport,Aqtobe,Aqtobe,Kazakhstan,Asia/Aqtobe,Airports,10170,722,VYSW
AKY,20.1303,92.8803,Sittwe Airport,Sittwe,Rakhine State,Myanmar,Asia/Rangoon,Airports,6000,28,UAAA
ALA,43.3608,77.0319,Alma Ata Airport,Almaty,Almaty,Kazakhstan,Asia/Almaty,Airports,14427,2234,KALB
ALB,42.7426,-73.809,Albany International Airport,Latham,New York,United States,America/New_York,Airports,7200,285,LEAL
ALC,38.2844,-0.5576,Alicante Airport,Elx,Valencia,Spain,Europe/Madrid,Airports,9842,141,ENAT
ALF,69.9793,23.3571,Alta Airport,Alta,Finnmark Fylke,Norway,Europe/Oslo,Airports,5249,9,DAAG
ALG,36.6993,3.21935,Houari Boumediene Airport,Algiers,Alger,Algeria,Africa/Algiers,Airports,11483,82,YABA
ALH,-34.9447,117.808,Albany Airport,Albany,Western Australia,Australia,Australia/Perth,Airports,5250,232,KALM
ALM,32.8407,-105.994,Alamogordo White Sands Regional Airport,Alamogordo,New Mexico,United States,America/Denver,Airports,7005,4197,KALO
ALO,42.5509,-92.3951,Waterloo Municipal Airport,Waterloo,Iowa,United States,America/Chicago,Airports,8401,873,OSAP
ALP,36.1808,37.2267,Aleppo International Airport,Djibrine,H'alab,Syria,Asia/Damascus,Airports,9908,1276,KALS
ALS,37.4444,-105.865,San Luis Valley Regional Airport,Alamosa,Colorado,United States,America/Denver,Airports,8499,7535,KALW
ALW,46.0879,-118.283,Walla Walla Regional Airport,Walla Walla,Washington,United States,America/Los_Angeles,Airports,7186,1205,HEAX
ALY,31.1845,29.9491,An-Nuzhah Airport,Alexandria,Al Iskandariyah,Egypt,Africa/Cairo,Airports,7021,,
ALZ,56.8988,-154.246,Alitak Seaplane Base,Alitak,Alaska,United States,America/Anchorage,Sea Plane Base,,1,KAMA
AMA,35.2177,-101.706,Amarillo International Airport,Amarillo,Texas,United States,America/Chicago,Airports,13502,3606,VAAH
AMD,23.0728,72.6328,Sardar Vallabhbhai Patel International Airport,Ahmedabad,Gujarat,India,Asia/Kolkata,Airports,7500,184,HAAM
